frame,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z
0,0.762760074125936,0.7783546581360696,-1.2310443898279908,0.49824335587640384,0.7713611540031913,-1.1469276740367538,0.8136813332429548,0.6494073689799179,-1.4924060779342851,0.45057343570349806,0.6564569272908596,-1.455039861312521,0.8018679960652569,0.4949085298134094,-1.5233693148208143,0.4460215121858411,0.4926005941109484,-1.6453277275466054,0.7213577031998314,1.1011639555833088,-1.0923506210870317,0.5188923875379868,1.1030769147009285,-1.0915992858440122
1,0.7455639825197354,0.755645808730933,-1.1021284689674682,0.48063284795114614,0.7488024190463541,-1.0196432624219998,0.7955723496196049,0.6265018161474274,-1.3738191002345974,0.4304287390914504,0.6326737190477919,-1.3374378101115367,0.7842442979359239,0.47388007077536565,-1.4331830907703218,0.42654203869630164,0.4704058440434574,-1.5472575399351094,0.7027777992058605,1.0791336108322906,-0.9869637579194311,0.49764671291401513,1.0800272444308823,-0.9892038369716257
2,0.7396456345464081,0.7381313064905399,-0.9031824025874129,0.4737430986266551,0.7311916155170193,-0.8240782334375388,0.7891721026997403,0.6088788088338568,-1.1749862515835219,0.4218241879481418,0.6141271997625614,-1.1379348137721357,0.7773013409747992,0.45770297541479826,-1.264181185371974,0.41877732635696246,0.4533687758300951,-1.3622841748020365,0.6959240592421999,1.0617316583292948,-0.802432521157229,0.4880118641935251,1.0616230638576478,-0.8058703501045985
3,0.7397157231624287,0.7246134468789619,-0.7013268735637511,0.47267257791464734,0.7174115605467558,-0.6254236663566553,0.7890264402829323,0.5953049225289306,-0.9684153323843241,0.41966156133436294,0.5996530571195455,-0.9296252601319219,0.7760621404269136,0.4452674400140538,-1.0846328675104253,0.41776958230965877,0.44034248808579307,-1.1650309203580131,0.6955038301999725,1.0480195839440605,-0.6091422183570929,0.4848796287053681,1.0469648373699523,-0.6128479244620192
4,0.7428983010862329,0.7146332965449508,-0.537279637798549,0.4745989142870585,0.7068783119218096,-0.4645188975409048,0.7921159263093158,0.5852531585637977,-0.8001720639119118,0.4208490089762569,0.5885530629234712,-0.7613783707504781,0.7777359186943587,0.43607239758802374,-0.9405025210976029,0.420512058483174,0.4305253247467915,-1.0084040154817187,0.6985343628185559,1.0377663321440616,-0.45404584122366826,0.4852507697435961,1.0357325016656445,-0.4603786689224319
5,0.747342883164041,0.7069482277306347,-0.3950686413949853,0.4777125799947727,0.698612611911896,-0.32777403781436537,0.7964845989332875,0.577300691638014,-0.6509647313507915,0.4234154165389778,0.5797452283819045,-0.6164280768834695,0.7805177073371966,0.4287101453685914,-0.8122340027257261,0.4250728767332994,0.42273835092234424,-0.8736302966454488,0.703005763012645,1.0299793672048154,-0.32343367658265426,0.48707520773217566,1.0271256663808155,-0.33618520512145966
6,0.7529414341183494,0.7009727720355655,-0.2732820524796222,0.48177765994342814,0.6921027082648679,-0.21106549037677166,0.8019836410353574,0.5708217701907586,-0.5238055437902971,0.42717877134611537,0.5725356392590242,-0.49567657783356023,0.7844256208064908,0.42276592419920384,-0.7057331119877247,0.43113816431135804,0.4165647465053171,-0.7657987854895005,0.7088592885764611,1.0239156864155694,-0.21382364358381517,0.4900026532091307,1.0203630482988402,-0.23231245145497345
7,0.7585262492058967,0.6959320352607223,-0.16557319809919668,0.48570383870032136,0.6867724828851509,-0.10810113416962631,0.8075253250567916,0.5650495702290508,-0.4125545592876503,0.43097240286163135,0.5664443866960297,-0.39036463292454626,0.7884278529088397,0.4174515030644911,-0.6119051344466448,0.43724212180595345,0.41142377470970826,-0.6714352915087051,0.7145763535655928,1.018770985246686,-0.11585176176758441,0.4929294829611764,1.0146146478862357,-0.1375773916900662
8,0.7630529992061827,0.6919073659755974,-0.08637464255968227,0.48872339769045364,0.6826386874271076,-0.033761467396482614,0.8121691631449519,0.5601048710863372,-0.3282481374922705,0.43405319016894217,0.5615884988870489,-0.31327716135983896,0.7915951263240433,0.4129320561193352,-0.5384128333399232,0.4423039314529008,0.40732393144961065,-0.6005820165767073,0.71911352757253,1.014542888964828,-0.04588016627762155,0.49511195018398735,1.0099795790838773,-0.06755813168948592
9,0.7658840660260791,0.6890818733799844,-0.050942611472172765,0.4903364284179859,0.679846223379489,-0.002368591614267453,0.8152393714030626,0.5562447646920131,-0.28814758064493307,0.43577636308663525,0.5581867248436719,-0.27963732312280387,0.793283810396942,0.4095262735752851,-0.5006906747302503,0.4454053272470047,0.40445297176569633,-0.568351056151913,0.7217231485620792,1.01139258118237,-0.016191724155402678,0.4959590623008715,1.006686643976801,-0.035650359883705775
