frame,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z
0,0.6680449514430759,0.618410528807557,-0.0920632249854505,0.40352823319354364,0.6114170246746786,-0.007946509194213469,0.7189662105600946,0.48946323965140526,-0.35342491309174484,0.35585831302063786,0.49651279796234693,-0.31605869646998075,0.7071528733823967,0.33496440048489673,-0.384388149978274,0.3513063895029809,0.33265646478243577,-0.5063465627040651,0.6266425805169712,0.9412198262547962,0.04663054375550857,0.42417726485512663,0.9431327853724158,0.04738187899852808
1,0.6700181335731119,0.6179781235067107,-0.07848520639087431,0.4050869990045226,0.6111347338221318,0.004000000154594119,0.7200265006729814,0.48883413092320505,-0.35017583765800353,0.3548828901448269,0.49500603382356956,-0.31379454753494285,0.7086984489893003,0.3362123855511433,-0.4095398281937279,0.3509961897496781,0.3327381588192351,-0.5236142773585155,0.627231950259237,0.9414659256080683,0.03667950465716274,0.4221008639673916,0.9423595592066599,0.034439425604968155
2,0.6717109047596931,0.6179651788066091,-0.07293209935586076,0.4058083688399401,0.6110254878330884,0.006172069794013302,0.7212373729130253,0.48871268114992594,-0.34473594835196975,0.3538894581614268,0.4939610720786305,-0.30768451054058354,0.7093666111880842,0.3375368477308674,-0.43393088214042186,0.35084259657024747,0.33320264814616424,-0.5320338715704843,0.6279893294554849,0.941565530645364,0.027817782074323172,0.4200771344068101,0.941456936173717,0.024379953126953624
3,0.6730462340635993,0.6181589498743215,-0.0712873300824276,0.4060030888158179,0.6109570635421154,0.004615877124668266,0.7223569511841029,0.48885042552429026,-0.3383757889030006,0.3529920722355335,0.49319856011490515,-0.2995857166505984,0.7093926513280842,0.3388129430094134,-0.4545933240291018,0.35110009321082936,0.3338879910811527,-0.5349913768766896,0.6288343411011431,0.9415650869394201,0.020897325124230592,0.4182101396065387,0.9405103403653119,0.017191619019304327
4,0.6741311288332659,0.6185553639832521,-0.0659496503817582,0.4058317420340915,0.6108003793601109,0.006811089875886023,0.7233487540563488,0.48917522600209895,-0.3288420764951209,0.35208183672328985,0.4924751303617725,-0.29004838333368727,0.7089687464413916,0.339994465026325,-0.4691725336808121,0.351744886230207,0.3344473921850928,-0.5370740280649278,0.6297671905655888,0.9416883995823628,0.017284146193122574,0.4164835974906291,0.9396545691039457,0.01095131849435893
5,0.6750848534182535,0.6188992977921773,-0.054921594666443196,0.40545455024898525,0.6105636819734387,0.012373008914176753,0.7242265691875001,0.48925176169955664,-0.31081768462224935,0.35115738679319036,0.4916962984434471,-0.27628103015492733,0.7082596775914092,0.34066121543013406,-0.472086955997184,0.352814846987512,0.3346894209838869,-0.5334832499169067,0.6307477332668575,0.9419304372663581,0.016713370145887863,0.41481717798638823,0.9390767364423581,0.003961841607082461
6,0.6760579229324848,0.6192658172771436,-0.04234027818523878,0.4048941487575636,0.6103957535064459,0.01987628391761173,0.7251001298494928,0.4891148154323367,-0.2928637694959137,0.3502952601602508,0.49082868450060224,-0.26473480353917683,0.7075421096206262,0.3410589694407819,-0.4747913376933413,0.3542546531254935,0.3348577917468952,-0.5348570111951172,0.6319757773905965,0.9422087316571475,0.017118130710568225,0.41311914202326616,0.9386560935404182,-0.0013706771605900558
7,0.6771225217255765,0.6196018540461503,-0.03251220871532931,0.40430011122000115,0.6104423016705789,0.02495985521424106,0.7261215975764714,0.48871938901447876,-0.27949356990378293,0.34956867538131114,0.4901142054814577,-0.2573036435406789,0.7070241254285194,0.34112132184991906,-0.4788441450627775,0.35583839432563324,0.33509359349513623,-0.5383743021248377,0.6331726260852726,0.9424408040321139,0.017209227616282963,0.4115257554808562,0.9382844666716637,-0.004516402306198819
8,0.6780964054377105,0.6199173795933371,-0.02405484895607765,0.40376680392198144,0.6106487010448474,0.02855832620712201,0.7272125693764797,0.48811488470407693,-0.2659283438886659,0.34909659640046997,0.4895985125047886,-0.25095736775623434,0.7066385325555711,0.3409420697370749,-0.47609303973631856,0.3573473376844286,0.33533394506735037,-0.5382622229731027,0.6341569338040578,0.9425529025825677,0.016439627325983072,0.41015535641551515,0.937989592701617,-0.005238338085881297
9,0.6789941240764579,0.6202066362328795,-0.01935978806619098,0.40344648646836473,0.6109709862323841,0.029214231791714333,0.7283494294534414,0.48736952754490825,-0.2565647572389513,0.34888642113701407,0.48931148769656707,-0.24805449971682209,0.7063938684473208,0.34065103642818023,-0.4691078513242685,0.3585153852973835,0.33557773461859147,-0.5367682327459311,0.634833206612458,0.9425173440352652,0.015391099250579108,0.4090691203512503,0.9378114068296961,-0.004067536477723989
10,0.6798044053283757,0.6205721179768248,-0.018757747601043255,0.4032818287474983,0.6113866329026598,0.02778315803255123,0.7295981530191754,0.48668239129153223,-0.2523085504113925,0.34883762648547484,0.48920727377596074,-0.24795587742962855,0.706370532257388,0.3404966969719708,-0.46063790249230274,0.35920434666267276,0.3358231325985528,-0.534062787223871,0.6352318336942407,0.9423488733401469,0.013446291908624133,0.40826075630561715,0.9376220332832012,-0.0009167366241458474
11,0.6803393425552414,0.6209177028225412,-0.018014267037443105,0.4032537669296468,0.6117922113774372,0.02479914404464767,0.7308475597960737,0.4860731618038019,-0.24580889625962746,0.34895642742557814,0.4891947008842462,-0.24875415180252955,0.7064206007643447,0.34048480535314823,-0.4471560416302941,0.35958767764306515,0.3360804802969643,-0.5281168123731129,0.6353784185777106,0.9422073135223473,0.011193363624541375,0.4078431663020692,0.9375048654925054,0.002561825236781806
12,0.680676449098526,0.6211774884179296,-0.018153042645416187,0.4030370019637232,0.6120638261378682,0.021314170736199303,0.7324075244675046,0.4857985651393132,-0.23954049063406557,0.3484983486349819,0.48919120104864533,-0.24989568603703627,0.7066024437719208,0.34072189484826454,-0.43867017082558357,0.35945918445972397,0.33633780085298864,-0.5252046500594957,0.6355278016854011,0.9421284400011359,0.010167567145077772,0.4076593644995391,0.9374237970107467,0.004282853978283249
13,0.6809612460961556,0.6214395248906952,-0.027620605388081185,0.4024695110730078,0.6122643219717658,0.015466162502781496,0.73451259338099,0.48615664659658264,-0.24661843988320034,0.34688454257697077,0.489240344593886,-0.25546066900980924,0.7073441677420363,0.3414657721346576,-0.44901742441743964,0.35889130865405966,0.3366597617279037,-0.534741459466417,0.6358669483538668,0.9421589802359555,0.008059081451928851,0.4074307370769902,0.9373584670512515,0.007473140708875066
14,0.6814391273057534,0.6216958742489057,-0.042453649206049104,0.40138181973460924,0.6124295478562517,0.010881282845357377,0.7373446890660614,0.487157382055481,-0.2616158911364565,0.3434571466730655,0.4893545385176139,-0.26006667358436497,0.7087503331428764,0.3427309723469943,-0.46860908903591186,0.35736675970973536,0.3371494559819376,-0.547551270935012,0.6364636101990295,0.9422802767978137,0.005049142152200819,0.4068966740183113,0.937228863067691,0.012187825826479442
15,0.6823220497485375,0.6218892251609988,-0.06175109892464894,0.39984590633369665,0.612697037734409,0.006794800423011782,0.7410836068293887,0.488743078995281,-0.2851506661552329,0.33781191923748016,0.48969203689062,-0.26712531010348506,0.7108224718653996,0.34449196944228444,-0.4988615883369868,0.3544061438452918,0.3380738549306082,-0.5682230022400652,0.6373025908955526,0.9424808299574522,0.0011006540549374187,0.4058849376618163,0.9371535525481042,0.01861314199798076
16,0.6836635326655889,0.6221558459267754,-0.08201038888684646,0.39772517446686206,0.613091721369932,0.003918123752556263,0.7459965728974899,0.49101889596241377,-0.3134086543201952,0.3295684985791048,0.49027886806445964,-0.27636086090693035,0.7137614297939056,0.3468845936152781,-0.5344142799150147,0.3497479057031087,0.33946650651444654,-0.5946067878958843,0.6383586584563294,0.9428058429751379,-0.0030373704622382453,0.40420352572650375,0.9370878724106119,0.025969807911575105
17,0.685175671373281,0.6224303850884708,-0.09769957162871254,0.39560666224193297,0.6135979485487354,0.002566865720412259,0.751838973508316,0.493765133315084,-0.33827514692465877,0.31931036070800556,0.49126712123964367,-0.2856725519195843,0.7173601569248285,0.34978311244321253,-0.5630976554578324,0.343954590572158,0.34137795457395087,-0.6187728332776077,0.6393061329531223,0.9432468674816855,-0.005687848209760635,0.4022384702270885,0.9371063657770088,0.03158126375024092
18,0.6863852522894952,0.6226550066833532,-0.09872142809394938,0.39368827183392696,0.6140511169432779,0.004201520847573165,0.7586548536861585,0.4965496147029993,-0.34262714472866146,0.307548347349887,0.4926578630757277,-0.29073061347983775,0.7215720826711731,0.3527905743931201,-0.5617407806362897,0.33701462173696084,0.34347586641916283,-0.6261576216983267,0.6398483505764408,0.9438699840325125,-0.005977892182304767,0.4004799560205077,0.9371983936818068,0.034154000247855254
19,0.6867923655475983,0.6228314383230588,-0.08689229624884903,0.3918756936329256,0.6144063497513195,0.008827689136415545,0.7663609141354527,0.49928404148484506,-0.3313230832613471,0.29557639435324434,0.4943321410543948,-0.2956683498780701,0.7268093979186535,0.3558925350843588,-0.5431474292796397,0.3303199723754857,0.34555388763782896,-0.6272194103547098,0.6398579878770633,0.9446174311237121,-0.003899383701855691,0.3994668210957054,0.9373506887772135,0.03255915609840429
20,0.6865156065551855,0.6228294529729249,-0.0654926401312967,0.3901734557573283,0.6145365429177778,0.014743328325045074,0.7750302463635619,0.5018789914658046,-0.30970160034138705,0.2839831667322914,0.4966244918383894,-0.30301320406533877,0.7330320317978719,0.3590629638792436,-0.5150723684417697,0.3242419220459678,0.34785187559139047,-0.6255588108128016,0.6395403071157086,0.9453908629387471,-1.4722064980599026e-05,0.39922255574848076,0.9375010867348823,0.027323579791280306
21,0.68595910456019,0.6224111045602542,-0.04172078626287638,0.3890697776881452,0.6144996530082089,0.020944425862413574,0.7847808409261234,0.5041221377284565,-0.2838114985448951,0.2730623092602898,0.5000465970508354,-0.30927514828957553,0.7400289529208345,0.36218244999792115,-0.48190600653461463,0.31877742623569505,0.3507946691398884,-0.6170386627730822,0.6389269277797566,0.9458878905801942,0.0035724268976926182,0.3997334849919496,0.9375939037613589,0.020971894462441493
22,0.685649012893354,0.6216537184555905,-0.026568913695428256,0.3882988905031133,0.614352518172161,0.021131569825335095,0.7959823780175187,0.5063513410177265,-0.27159938221084196,0.26215516050762383,0.5048822004993978,-0.3284474834996687,0.7479208529070891,0.36557325399222274,-0.4693951986534402,0.31327375066270197,0.3547618211619805,-0.627390474562997,0.6382978025123902,0.9461284453256221,0.0065143910984623715,0.40056384826765457,0.9376198311087053,0.01530770661318899
23,0.6859648043492071,0.6205698673611098,-0.02615793474122287,0.38788529538096905,0.6141596127873248,0.016826190438133617,0.8085188758016945,0.5091050215600741,-0.28333511290086233,0.25117529552225576,0.5114016844241315,-0.35700395619392344,0.7567559818440508,0.36972711789297624,-0.4913100988900144,0.3074973557613597,0.36041190125724704,-0.6587215192699907,0.6379011243490287,0.9461511029539663,0.006346072377711107,0.40154307499717945,0.9376391097409148,0.013415435294448094
24,0.6863508888062605,0.618833490019789,-0.03675519183388723,0.3883509517668885,0.6139051818967327,0.010504433521955792,0.822450223441415,0.5130642519751619,-0.30205182775849043,0.2383399816891349,0.5199557816655201,-0.3772023297180621,0.7661816898908842,0.37470886264569275,-0.5233279296178852,0.3004598904068341,0.36732373684909203,-0.6813555697440021,0.6371544892424215,0.9459840427418613,0.004067213840265316,0.40343422986424116,0.9375668178465757,0.014066697105208387
25,0.6863649441042896,0.6164667068679445,-0.051550148910897264,0.3893029332932189,0.6135335038634221,0.008025019926492821,0.8375239553090409,0.519496680178715,-0.32179095003412633,0.22341555852945943,0.5302939367739441,-0.38746383598744727,0.7755726978778296,0.3802608785542786,-0.5595894217335446,0.2928546511041781,0.3745692004775049,-0.697890534695468,0.6358606661635061,0.9456636738542442,-0.000588819550861347,0.406141241415111,0.9370869260641631,0.018200513504715965
26,0.6875039307429687,0.6142403556739555,-0.06202101856250336,0.3889314581453928,0.6133200970366339,0.006931376311578752,0.8513541635642811,0.5275718667124435,-0.3374421534096323,0.20831516345284523,0.5402965575329227,-0.3860706262502449,0.7853753706343316,0.3870647983767359,-0.5994869341073401,0.28462342846395094,0.3827609994114984,-0.7020297565278828,0.6353942339044629,0.945306538355398,-0.0047999560744934056,0.4079433276940246,0.9365764634346139,0.02044661549479776
27,0.689025375722129,0.6128653973300036,-0.053871383383961136,0.38754938972306824,0.6132815048451893,0.017581643862514706,0.8634858322217123,0.5362337482660314,-0.3285536152313244,0.19435126562670252,0.5491363116327498,-0.3529739763229285,0.7947701629162223,0.39434295985790774,-0.6036774893818679,0.27649866955887464,0.39149061528909224,-0.6536724018841523,0.6350936582218711,0.9451924799996332,-0.006760584175776463,0.4093273512597093,0.935795997230106,0.019164268938711038
28,0.6912974080878527,0.6131360886267271,-0.0350448511000058,0.38500105128307854,0.6133864303056438,0.03429525406751302,0.8737276646526965,0.5441439656197,-0.30714436630603303,0.18282382996446112,0.5560199218661552,-0.3119537092474626,0.8026517338783078,0.40219748120564464,-0.5788224626346135,0.2686394928745422,0.4005706360580709,-0.5878193598185402,0.6353333491799623,0.945445382722166,-0.006919358934630582,0.4092498033824173,0.9349625869292577,0.01761639396685441
29,0.6940310949986761,0.6145657153474662,-0.01504278830930434,0.38204320287987775,0.6137490342282339,0.05507646935429816,0.8820950693487734,0.5511914466916549,-0.2818038846093326,0.17419953702504798,0.5615152485741688,-0.27626780119608174,0.8091870579014627,0.41122056328552314,-0.5418533329063988,0.2623189146958051,0.40967820810473865,-0.5340847409764753,0.6362627834248773,0.9461280969240783,-0.007000292432471772,0.40774768968603636,0.9345911648918291,0.018296268988662795
30,0.6959413319901593,0.6162946496544512,0.005657072704521145,0.3795775385133883,0.6144953452544046,0.07283921768921228,0.8890316589480456,0.5583225577811683,-0.2543470639781857,0.16724434593115609,0.5670179480626419,-0.24775143032380603,0.8147469973249639,0.42014425685522805,-0.5043588450894345,0.2574412968179677,0.41854867364480286,-0.48818364597521013,0.6368311995009653,0.946944694558706,-0.0054969508183827995,0.4068894707409039,0.9344138589878502,0.017972834265911078
31,0.6973201611303766,0.6182839171612482,0.021787487680451065,0.3772019093155756,0.6154693118207222,0.08323810961409853,0.8952156661123852,0.5654730104664268,-0.23783455147721175,0.1618874401036773,0.5725643557724122,-0.24920628109544704,0.819245033754964,0.42865437158940645,-0.49011890591253726,0.25337027055572703,0.4274144524202048,-0.48697749926455924,0.6372284546186193,0.9480226735319947,-0.0015913390448781262,0.40620213780000286,0.9344483364850366,0.016397036425491375
