frame,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z
0,0.6814747136263622,0.6383477012316386,-0.30659302551121964,0.4138104516835439,0.6249881219296226,-0.29774836846849045,0.741226045290629,0.5224378381456648,-0.5972559204413775,0.37082059709798715,0.5151779596294674,-0.6371150646890913,0.743499388297399,0.3911112151685216,-0.7312632580598196,0.37859740697202215,0.3703740777004333,-0.905534482711837,0.6106176607665562,0.912836519025621,0.019869899261920235,0.40392403155565254,0.9063491744654522,-0.020065056415097354
1,0.6812137543352992,0.638594207932737,-0.2688479825406961,0.41471069127197835,0.6257668733720205,-0.2480984909379929,0.74091843709689,0.5224605501623629,-0.5513019026498123,0.37175172659304323,0.5158494636138774,-0.5724846331182845,0.7421025949914017,0.39027304560809906,-0.6938478605841012,0.38025666357444177,0.37136345097243667,-0.835796522653004,0.6111504587389174,0.9160996642233671,0.015374473905852212,0.40382519294016106,0.9095379715750679,-0.015590160284490253
2,0.6810648937958372,0.6389353110923532,-0.23477226654472588,0.41562769401887933,0.6265125816283018,-0.20199337362901823,0.7406165568724923,0.5224556439411568,-0.5081090837254287,0.37268468615431233,0.5163893064912062,-0.5105254013808619,0.7406089383993091,0.38945932413295203,-0.6582061911776942,0.3821589459913857,0.37219265416171987,-0.7689173065912648,0.6118433138783674,0.9193245695244455,0.010775901381539553,0.4038250674834903,0.9126544380780335,-0.011012385116878513
3,0.6810281320079765,0.6393710107104875,-0.20436587752330893,0.4165614599242469,0.6272252466984666,-0.1594330165415664,0.7403204046174362,0.5224231194820467,-0.46767746366822716,0.37361947578179433,0.516797488261454,-0.4512373694768235,0.7390184185211213,0.38867005074308053,-0.6243382498405985,0.3843042542228542,0.372861687268283,-0.70489683452662,0.6126962261849064,0.9225112349288562,0.006074181688982254,0.4039236551856404,0.9156985739743492,-0.006331730912262136
4,0.6811198150272454,0.6399271822000393,-0.17935742928066128,0.4175013051578474,0.6278856462573417,-0.12100607274354716,0.7400406141458836,0.5223867375287954,-0.4321619800158913,0.37450046313475405,0.5170722345634526,-0.39499327170491,0.7373216452929302,0.3879044567761216,-0.5948888487697392,0.386694340343061,0.37330999659455366,-0.6447599377506272,0.613697053890051,0.9256884087069935,0.0011049187748922388,0.4041117509082734,0.9186812149565171,-0.0013843340821386805
5,0.6813463108695077,0.640612945799749,-0.1601611063593911,0.41845108862680963,0.6284914950529739,-0.08700833611525832,0.7397674332741137,0.5223478448378625,-0.4017545626955746,0.37532332553132997,0.517209431127979,-0.3418115023361602,0.7355091891612083,0.3871714776316294,-0.5699263500439211,0.3893442980621175,0.3735269502206375,-0.5884716074936882,0.6148613629195512,0.9288496876787208,-0.00415734771458822,0.4043898874002957,0.9216012130366108,0.0038551783769084926
6,0.6816640707770247,0.6413496805603054,-0.14050252099358856,0.419480033941809,0.6291231376784192,-0.05612675654043089,0.739407840821561,0.5221961582751835,-0.3671067645872275,0.3763370184218829,0.5171910058802126,-0.2901571753828835,0.7335788929108676,0.38651516014662535,-0.5371449506430896,0.39232730853549386,0.37374703293837236,-0.531141771523191,0.61632567222074,0.9318265099127271,-0.009039155724911532,0.40481122644956263,0.9243966570387556,0.008715508918401973
7,0.6820344035361375,0.64204090898863,-0.12328794513841272,0.4204401087553197,0.6297257378111226,-0.03131021398728298,0.7391355637684623,0.5218471290264732,-0.3378262580448881,0.37741234444025246,0.5170316169062843,-0.24930318409231234,0.7317540001075301,0.3858145414168382,-0.5082941536269082,0.3952886721567916,0.37391520400883194,-0.48520023233011095,0.6177806158922231,0.9344716428126697,-0.013147929594003634,0.4053702138739675,0.9267932852520631,0.012806551221850052
8,0.6823819861525585,0.6426267372278451,-0.10844451009178267,0.42122030735139304,0.630196949611293,-0.0139385033637964,0.7390639856488567,0.5213418813595865,-0.3124282203475883,0.378448210505472,0.5167760378825743,-0.22052882760763182,0.7301642512065782,0.3851674286413393,-0.481600003657134,0.3978763375469866,0.3740037503203006,-0.45170467557003807,0.6191064531141685,0.9365210058156015,-0.016122722132787058,0.4059819375012481,0.9286187911132362,0.015770596870574072
9,0.6826879992494924,0.6430694111632516,-0.09981369658934411,0.4217420513585491,0.6305034497756646,-0.0069826196156072,0.7392571898721025,0.5207047029558427,-0.29710563187396816,0.37930013462129863,0.5164605392432365,-0.20809928503959582,0.7289561646572063,0.3846391958232748,-0.4635941399427184,0.399820382069357,0.37399696558405426,-0.43604660456225025,0.6201494688573095,0.9377828691563505,-0.01760197816393484,0.4065009771296699,0.9297353569024845,0.017245918122268687
