frame,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z
0,0.6761284430821741,0.6205284799848289,0.036810182318800996,0.40339591730208657,0.6114322951861795,-0.013095561936054212,0.7168820017860054,0.48540127305757463,-0.2540222646225068,0.362648818890254,0.48661466581480883,-0.2721260285093673,0.6946695191519605,0.3359829854397549,-0.5644681658063619,0.35604952289944625,0.34076211395717826,-0.4986125613961905,0.6413730462392175,0.9427383053870435,0.015445373876995995,0.40452954712368216,0.9443169491631651,-0.016146607595008057
1,0.6763666527611873,0.6204332709312443,0.0301284976392275,0.40369610303924225,0.6117147791953319,-0.020983322585622483,0.7177755423954559,0.4856686719826293,-0.257048189923877,0.3615853454385488,0.4859572558175953,-0.278254482150078,0.6981131899924511,0.3365656963416511,-0.5730469226837162,0.3556343223367421,0.3397594789663953,-0.5005904728458044,0.6413062390827002,0.9421192487080898,0.01615302118783197,0.40456458131472295,0.9435106493177874,-0.01684889535730085
2,0.6765077097075332,0.6204517154466542,0.015604208773445528,0.4037600505919686,0.6119154521397187,-0.028582560727816272,0.7180825210752947,0.4864516655604048,-0.2614926992427737,0.3601977623644331,0.4857760843776525,-0.281004452279636,0.7012854553404314,0.3374109512283691,-0.5771755984851297,0.3551373796803613,0.33922641901742867,-0.4996078777880899,0.6412955403327947,0.9414676927384883,0.01630278333489385,0.40465535720189444,0.9427264020556502,-0.016991310548924277
3,0.6765889775185363,0.6205417513847356,0.0006397979200950688,0.4037069190116159,0.611998646032243,-0.03367520519088779,0.7180126842998328,0.4875511124020535,-0.2651390912986939,0.3591278229440964,0.4858152684711278,-0.28106781329427466,0.7039466676257911,0.33820600310961435,-0.5792839305741451,0.3545983978680205,0.33906837276050045,-0.49692356955437467,0.6412315629777459,0.9408222221192866,0.016141938772939513,0.4047225393000106,0.9419379841713685,-0.016820842054273415
4,0.6766782510848277,0.6206852600688031,-0.00506663125318786,0.40349928736686735,0.611943394229526,-0.0329918102161693,0.717750984146482,0.4889017826034912,-0.26432760854562143,0.35834323848996874,0.4857446537131358,-0.278478899456206,0.7060997786976047,0.3389284735634216,-0.5793036841210868,0.35408201785314675,0.3389245992615112,-0.49519950662340473,0.6411620401200799,0.9403545124190201,0.016159573055449,0.4047422846158349,0.9413082497460508,-0.016831550232711302
5,0.676789582343329,0.6208234259060456,-0.003858616338333206,0.40318754769506937,0.611732163315728,-0.026403931887554292,0.7174434264500941,0.4897448732739407,-0.2540767192840578,0.3578857620557152,0.4854736123766221,-0.27062656269187035,0.7078628710338053,0.339275590011052,-0.5678911981128514,0.3536536179837729,0.33863760687056066,-0.4910176064286917,0.6410780441193358,0.9401374606859123,0.01623489736978498,0.4046619437989737,0.9409441175914954,-0.016902557316990138
6,0.6769575913747157,0.6209431336039593,0.003849945141978209,0.4029236648763932,0.6115346130870642,-0.017873767448500524,0.7174189964930222,0.49013696369670723,-0.24327189297903168,0.3575845076924281,0.4851381264981772,-0.2643629462946031,0.7094630093801595,0.3395676249549505,-0.5604068580127901,0.3533145629224326,0.33827442555200515,-0.4912323293231786,0.6410257498423264,0.94007101399558,0.01652899677199978,0.4045510612782981,0.9407207557133273,-0.01719461049707164
7,0.6771816162835989,0.6209951270194285,0.011020542264339479,0.4028341673669364,0.6114979971022838,-0.011455355074611456,0.7176722452754072,0.49004366965520985,-0.2354823480049771,0.3573923919882096,0.4849969517617002,-0.26109040947187534,0.7111897616159353,0.33973824239912515,-0.5578082521756493,0.35301804741223675,0.33795165391195414,-0.49339730881509364,0.6409714352516905,0.940057605788822,0.01690590454354174,0.4044141420296263,0.9405366886229749,-0.01756796208875521
8,0.6773844622430352,0.6209813589141487,0.0190873208610962,0.4029552638530734,0.6116165070306692,-0.006736543029546743,0.7181560578800388,0.48960067998795315,-0.22619034435067875,0.35720738541512287,0.4850561931019741,-0.25784575357323625,0.7127536728268582,0.33977438069525245,-0.5519589634168719,0.3528824125017441,0.33765513158979893,-0.49123411405654216,0.6408685882886256,0.9400593757629401,0.017205578310503858,0.4042626925877165,0.9403543608529233,-0.01786338860789936
9,0.6775143311137249,0.6208873845282059,0.026186450535342826,0.40324911134583635,0.611873815173195,-0.005925822865572718,0.718963273366293,0.4889869210265935,-0.21865086768354705,0.35709895803814873,0.48532470805304423,-0.25744225425379635,0.7140242315474016,0.3396736431689492,-0.5466906984647119,0.35278719521704205,0.33743818742888343,-0.4861384062539967,0.6407292445500696,0.9400795970644277,0.017450949664981605,0.4041216966651737,0.940151903175173,-0.018106685206294073
