frame,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z
1,0.6757582426071167,0.628960371017456,-0.41868504881858826,0.3972713351249695,0.6217880249023438,-0.39740753173828125,0.7426785230636597,0.5324440002441406,-0.8037250638008118,0.35207894444465637,0.5184339284896851,-0.7954786419868469,0.752832293510437,0.39859437942504883,-1.1376702785491943,0.35827386379241943,0.38248103857040405,-1.1727687120437622,0.6067386865615845,0.8897477388381958,-0.012579824775457382,0.41822656989097595,0.8872902393341064,0.014472592622041702
2,0.6782377362251282,0.6289656162261963,-0.4257675111293793,0.3982338160276413,0.6218243539333344,-0.4168606996536255,0.7423883378505707,0.5317317545413971,-0.829298585653305,0.3520970940589905,0.5196742117404938,-0.8331851065158844,0.7508279979228973,0.39805029332637787,-1.1684946417808533,0.3610898405313492,0.38241973519325256,-1.1923274397850037,0.6071924269199371,0.8933899700641632,-0.011005519889295101,0.41830721497535706,0.88959139585495,0.013034533243626356
3,0.6797413031260172,0.6298452019691467,-0.4239414532979329,0.3992234766483307,0.6228132446606954,-0.40223389863967896,0.7406660715738932,0.5315274397532145,-0.8365668058395386,0.352679838736852,0.5214176774024963,-0.8224186499913534,0.7490930755933126,0.39802056550979614,-1.175257960955302,0.3645209074020386,0.3824039896329244,-1.1665518681208293,0.6079315543174744,0.9001568555831909,-0.011921921434501806,0.41832459966341656,0.8944845398267111,0.014209547080099583
4,0.6809887439012527,0.6305208504199982,-0.3891839385032654,0.39974337816238403,0.6233786046504974,-0.3832566365599632,0.7394419312477112,0.5336305350065231,-0.8297651410102844,0.35353026539087296,0.5241465270519257,-0.8204933553934097,0.748291403055191,0.3993239775300026,-1.178054302930832,0.3671921491622925,0.3827812969684601,-1.1682136058807373,0.6085444986820221,0.905637577176094,-0.010772777488455176,0.41827116906642914,0.8990256637334824,0.013268569484353065
5,0.6819859266281127,0.6309434652328492,-0.37611026763916017,0.4005749225616455,0.6237125754356384,-0.37470396757125857,0.7384657144546509,0.5354086518287658,-0.8315943360328675,0.35418760776519775,0.5268845796585083,-0.824832022190094,0.747824239730835,0.40075350999832154,-1.1945460319519043,0.3690167605876923,0.38302075266838076,-1.1818530082702636,0.6093654870986939,0.9088560461997985,-0.010104211699217557,0.4182421863079071,0.9020392894744873,0.012738598324358464
6,0.684429407119751,0.6316757559776306,-0.3597863256931305,0.40189085602760316,0.6243558168411255,-0.3717319846153259,0.7368560433387756,0.5373281598091125,-0.8384121894836426,0.35519041419029235,0.5305446743965149,-0.8477859020233154,0.7462704896926879,0.4018519282341003,-1.2168405771255493,0.37401118874549866,0.3825632333755493,-1.2035542726516724,0.6110503792762756,0.9156574606895447,-0.008245008718222379,0.4182043731212616,0.9077923059463501,0.011164858844131232
7,0.6860086560249329,0.6327642798423767,-0.3306978762149811,0.40281673669815066,0.6250498294830322,-0.3610015630722046,0.7353437542915344,0.5394625425338745,-0.8161849021911621,0.35630943775177004,0.5335559248924255,-0.8510825157165527,0.7454740524291992,0.4031005859375,-1.1974944829940797,0.3785135567188263,0.38205368518829347,-1.201041865348816,0.6129148721694946,0.9221637845039368,-0.005216482747346163,0.4180954933166504,0.913519287109375,0.008377994503825903
8,0.6870943903923035,0.633329176902771,-0.3086239457130432,0.40336591601371763,0.6250893712043762,-0.35999947786331177,0.7348076581954956,0.5409205675125122,-0.7946681380271912,0.3572640061378479,0.5337376117706298,-0.8490930080413819,0.7453936100006103,0.4040049374103546,-1.1664692640304566,0.38149195313453677,0.38050822019577024,-1.1938309907913207,0.614350414276123,0.9252566695213318,-0.0016909513622522354,0.4179078280925751,0.9167630910873413,0.0049589872127398845
9,0.6877858281135559,0.6340934753417968,-0.32479997873306277,0.4043775737285614,0.6253403186798095,-0.37217615246772767,0.7340818643569946,0.543103301525116,-0.8021199345588684,0.35778034925460817,0.5324443697929382,-0.8445712327957153,0.7456383824348449,0.40426854491233827,-1.1629862785339355,0.38354807496070864,0.3787010431289673,-1.180424976348877,0.6156906366348267,0.9270208477973938,-0.001956530287861824,0.4177595376968384,0.9184884190559387,0.00523144246544689
10,0.6886067986488342,0.6348840594291687,-0.33323606848716736,0.40466066598892214,0.6256012201309205,-0.38159574270248414,0.733832573890686,0.5444946765899659,-0.8059322357177734,0.35824968218803405,0.5303960561752319,-0.8396695971488952,0.7458706498146057,0.40387202501297,-1.1568876266479493,0.3851027011871338,0.3769887208938599,-1.169792103767395,0.6165755271911622,0.9287572026252746,-0.0022396746091544626,0.4174685597419739,0.9200671315193176,0.005527784279547632
