frame,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z
0,0.4393768906593323,0.2663036584854126,0.03053969517350197,0.400055468082428,0.4777957797050476,0.07567291706800461,0.4439811706542969,0.6187731027603149,0.19690026342868805,0.49124670028686523,0.846795380115509,-0.00575329689309001,0.5683709979057312,0.8154073357582092,0.005301928147673607,0.5686545968055725,0.6083422303199768,0.2464497983455658,0.628784716129303,0.4516015648841858,0.16329972445964813,0.5835384726524353,0.25150439143180847,0.09750444442033768
1,0.4393669664859772,0.2655348479747772,-0.18161186575889587,0.4005576968193054,0.47363802790641785,-0.11715086549520493,0.4423332214355469,0.6221599578857422,0.003845867933705449,0.47643256187438965,0.9041410684585571,-0.002337200101464987,0.5662285089492798,0.9023049473762512,0.0019787298515439034,0.5708615183830261,0.619657576084137,0.0026279506273567677,0.6286411881446838,0.4570295512676239,-0.07869730144739151,0.5848720669746399,0.25198373198509216,-0.10468877851963043
2,0.439639151096344,0.2651742696762085,-0.1300153136253357,0.400128036737442,0.4709535241127014,-0.011546527966856956,0.44209322333335876,0.6229192018508911,0.18139320611953735,0.46391382813453674,0.9669800400733948,-0.003404872491955757,0.5653132200241089,0.9690461754798889,0.003034597262740135,0.5754693746566772,0.6295036673545837,0.16520050168037415,0.6286581158638,0.4583728015422821,0.05023808032274246,0.5861091613769531,0.2523379921913147,-0.0721735879778862
3,0.44042158126831055,0.265262633562088,-0.18624474108219147,0.3998822569847107,0.47116219997406006,-0.006969084031879902,0.4421612322330475,0.628724992275238,0.18239006400108337,0.4638743996620178,0.9826571345329285,-0.010153459385037422,0.5655480623245239,0.9735854864120483,0.009823479689657688,0.5802880525588989,0.633547306060791,0.1920394003391266,0.6289933919906616,0.4597845673561096,0.06369747221469879,0.5876109600067139,0.25284427404403687,-0.10182519257068634
4,0.44090500473976135,0.26526719331741333,-0.17914330959320068,0.39975979924201965,0.47153350710868835,-0.00018171122064813972,0.4443746507167816,0.6340231895446777,0.19319844245910645,0.4608847498893738,0.985753059387207,-0.02095680497586727,0.5654093027114868,0.9845752120018005,0.020597297698259354,0.583103358745575,0.6380202174186707,0.23984308540821075,0.6297908425331116,0.46103227138519287,0.08871915191411972,0.5895072221755981,0.2533823251724243,-0.07192476093769073
5,0.44140276312828064,0.2656567394733429,-0.12431526184082031,0.39893704652786255,0.4716840982437134,0.03472214192152023,0.4445732533931732,0.638051450252533,0.21321356296539307,0.4607577919960022,0.9867415428161621,-0.022329946979880333,0.5654568076133728,0.9834124445915222,0.021942468360066414,0.5844643712043762,0.6394779086112976,0.24705716967582703,0.6308249235153198,0.4609074890613556,0.11461979150772095,0.5901820063591003,0.25544530153274536,-0.030776340514421463
6,0.44138169288635254,0.26717719435691833,-0.12352820485830307,0.39800480008125305,0.47209158539772034,0.03898594528436661,0.44456353783607483,0.639143705368042,0.2211546003818512,0.4612378180027008,0.9872670769691467,-0.023404739797115326,0.5654723644256592,0.9803129434585571,0.023017410188913345,0.5849208235740662,0.6399784088134766,0.2538922429084778,0.6315703988075256,0.46382343769073486,0.11598305404186249,0.5913894176483154,0.25689202547073364,-0.02479736879467964
7,0.44132906198501587,0.2671778202056885,-0.15409503877162933,0.3970763087272644,0.47222790122032166,0.021153230220079422,0.44470372796058655,0.640172004699707,0.21270355582237244,0.460927814245224,0.9857845902442932,-0.024124296382069588,0.565146803855896,0.9803532361984253,0.023732827976346016,0.5849867463111877,0.6429386138916016,0.2511482834815979,0.6323215365409851,0.46485617756843567,0.10475809872150421,0.5920942425727844,0.25757282972335815,-0.06352047622203827
8,0.4408811926841736,0.26760488748550415,-0.13711926341056824,0.3955554664134979,0.4728793203830719,0.031131327152252197,0.44468656182289124,0.6405900120735168,0.23319557309150696,0.4622259736061096,0.9833444952964783,-0.02512769028544426,0.5655151009559631,0.977229654788971,0.02474236488342285,0.5852224230766296,0.6436147093772888,0.2778306305408478,0.6336786150932312,0.4653812348842621,0.12444033473730087,0.5936173796653748,0.2584548592567444,-0.041534945368766785
9,0.4399716854095459,0.268224835395813,-0.127052903175354,0.39473971724510193,0.47626763582229614,0.05418582633137703,0.4447193741798401,0.6409582495689392,0.24387633800506592,0.45991188287734985,0.9891265630722046,-0.02558101713657379,0.565029501914978,0.9869332909584045,0.025182664394378662,0.5851307511329651,0.6444782018661499,0.2983090281486511,0.6343792676925659,0.46574875712394714,0.16107848286628723,0.5937330722808838,0.25867927074432373,-0.0066709802486002445
