frame,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z
0,0.40976613759994507,1.2545415163040161,-0.5140383243560791,0.37956702709198,1.1940845251083374,-0.51738041639328,0.3764907419681549,0.9625507593154907,-0.7212252616882324,0.448052316904068,1.2237541675567627,0.04234044626355171,0.5480775833129883,1.2185016870498657,-0.042289867997169495,0.5679430961608887,0.9661112427711487,-0.8286001086235046,0.6098951697349548,1.1526391506195068,-0.6490713357925415,0.5503411889076233,1.139289140701294,-0.5434526801109314
1,0.42203694581985474,1.0778467655181885,-0.16742464900016785,0.38778626918792725,1.1039518117904663,-0.30225130915641785,0.3767092525959015,0.9624425172805786,-0.5598670244216919,0.4534996449947357,1.2415165901184082,0.05949772149324417,0.5443491339683533,1.2762365341186523,-0.05952402949333191,0.5603340864181519,0.9690601825714111,-0.7188399434089661,0.5848022103309631,1.140992283821106,-0.5570979118347168,0.5094625353813171,1.120617389678955,-0.40498679876327515
2,0.43491458892822266,1.0480635166168213,-0.19426941871643066,0.4142399728298187,1.0374821424484253,-0.3493361175060272,0.3663622736930847,0.9620981812477112,-0.625977635383606,0.43410739302635193,1.2590852975845337,0.058749765157699585,0.5089854001998901,1.3041342496871948,-0.05877343937754631,0.5152283906936646,0.9985520839691162,-0.7666099667549133,0.5502573847770691,1.1325452327728271,-0.5769562125205994,0.4861098825931549,1.1468055248260498,-0.41329044103622437
3,0.41485756635665894,1.0382159948349,-0.27630284428596497,0.4166621267795563,1.0823557376861572,-0.31800922751426697,0.3855557441711426,0.9802039265632629,-0.5084041357040405,0.4360082745552063,1.3325895071029663,0.07667260617017746,0.4918757379055023,1.3896515369415283,-0.07681826502084732,0.4898734986782074,1.0141854286193848,-0.7315286993980408,0.47942906618118286,1.118382453918457,-0.6071152687072754,0.4275363087654114,1.0897456407546997,-0.4955805242061615
4,0.41929736733436584,0.9533906579017639,-0.09873606264591217,0.4490363597869873,1.0493817329406738,-0.23665854334831238,0.3867259621620178,0.9928516149520874,-0.4623488783836365,0.41317588090896606,1.3512476682662964,0.07270398736000061,0.43521761894226074,1.3982956409454346,-0.07281950861215591,0.4208928048610687,1.0154849290847778,-0.6734132170677185,0.4004576802253723,1.0700995922088623,-0.5564386248588562,0.37378400564193726,0.9878619909286499,-0.40648970007896423
5,0.37563344836235046,0.9645605087280273,-0.2166878879070282,0.39473602175712585,1.0518536567687988,-0.3014790713787079,0.35863441228866577,0.9924641847610474,-0.5055402517318726,0.39485445618629456,1.3562573194503784,0.069974884390831,0.4547339379787445,1.3975611925125122,-0.07007496058940887,0.45351147651672363,0.9993458390235901,-0.6783557534217834,0.44600510597229004,1.0465415716171265,-0.5390548706054688,0.38911402225494385,1.0024964809417725,-0.4011314809322357
6,0.3899158835411072,0.9295166730880737,-0.1599847972393036,0.3855777680873871,1.024077296257019,-0.30144786834716797,0.3387131690979004,0.9833853840827942,-0.535382866859436,0.3800812065601349,1.3472890853881836,0.06811115890741348,0.44198307394981384,1.3817123174667358,-0.06822474300861359,0.456083208322525,0.9867662191390991,-0.70274418592453,0.46465054154396057,1.0537997484207153,-0.5570269823074341,0.4156528115272522,0.9733515977859497,-0.4314036965370178
7,0.4010530412197113,0.8903822898864746,-0.03419705480337143,0.39915555715560913,0.9602556228637695,-0.2483629286289215,0.3660423159599304,0.9595835208892822,-0.546176552772522,0.39060544967651367,1.3449820280075073,0.07076147198677063,0.4307655692100525,1.3759645223617554,-0.0708778128027916,0.4370651841163635,0.9922182559967041,-0.718038022518158,0.4345751702785492,1.036763072013855,-0.5489205121994019,0.4039042592048645,0.951511025428772,-0.3433041274547577
8,0.4150482714176178,0.8904669284820557,0.027589906007051468,0.4338131844997406,0.9660913944244385,-0.18021909892559052,0.37584179639816284,0.9439167380332947,-0.47046104073524475,0.39230528473854065,1.3438785076141357,0.08009950816631317,0.432717889547348,1.3715258836746216,-0.08025605976581573,0.44180917739868164,0.9734302759170532,-0.7107738256454468,0.44766268134117126,0.9913721680641174,-0.5399471521377563,0.41317319869995117,0.929416298866272,-0.30694258213043213
9,0.41990527510643005,0.8799769282341003,0.0510648675262928,0.4394235610961914,0.9395698308944702,-0.22345153987407684,0.37207308411598206,0.944753110408783,-0.5145043134689331,0.37907466292381287,1.320589303970337,0.052194319665431976,0.41260504722595215,1.3226213455200195,-0.05237044766545296,0.42802658677101135,0.9295324683189392,-0.6744757294654846,0.45323890447616577,0.9406827092170715,-0.400380939245224,0.416939914226532,0.9168951511383057,-0.09300081431865692
